รหัสทัวร์,จำนวนลูกค้า หัก หนท.,ยอดเบิก
2UCKG4NCKGFD251206,23,1150
2UCKG4NCKGFD251208,23,1150
2UCKG4NCKGFD251209B,23,1150
2UCKG4NCKGFD251211,23,1150
2UCKG4NCKGFD251224,23,1150
2UCKG4NCKGFD251225,23,1150
2UCKG4NCKGFD251226,23,1150
2UCKG4NCKGSL251118A,16,800
2UCKG4NCKGSL251230,13,650
2UCSX5NCSXSL251127,9,450
2UCSX5NCSXSL251207,14,700
2UKMG3NKMGKY251210,9,450
2UKMG3NKMGKY251218,13,650
2UKMG3NKMGKY251224,17,850
2UKWL3NNNGGX251226A,27,1350
2ULJG4NLJGDR250909,16,800
2ULJG4NLJGDR250916,20,1000
2ULJG4NLJGDR250923,20,1000
2ULJG4NLJGDR250930,20,1000
2ULJG4NLJGDR251007,17,850
2ULJG4NLJGDR251028,24,1200
2ULJG4NLJGDR251104,25,1250
2ULJG4NLJGDR251118,23,1150
2ULJG4NLJGDR251125,23,1150
2ULJG4NLJGDR251202,22,1100
2ULJG4NLJGDR251209,23,1150
2ULJG4NLJGDR251216,14,700
2ULJG4NLJGDR251223,23,1150
2ULJG4NLJGDR251230,23,1150
