รหัสทัวร์,จำนวนลูกค้า หัก หนท.,ยอดเบิก
2UCKG4NCKGFD251206,23,1150
2UCKG4NCKGFD251208,23,1150
2UCKG4NCKGFD251209B,23,1150
2UCKG4NCKGFD251211,23,1150
2UCKG4NCKGFD251224,23,1150
2UCKG4NCKGFD251225,23,1150
2UCKG4NCKGFD251226,23,1150
2UCKG4NCKGSL251118A,16,800
2UCKG4NCKGSL251230,13,650
2UCSX5NCSXSL251127,9,450
2UCSX5NCSXSL251207,14,700
2UKMG3NKMGKY251210,9,450
2UKMG3NKMGKY251218,13,650
2UKMG3NKMGKY251224,17,850
2UKWL3NNNGGX251226A,27,1350
2ULJG4NLJGDR250909,16,800
2ULJG4NLJGDR250916,20,1000
2ULJG4NLJGDR250923,20,1000
2ULJG4NLJGDR250930,20,1000
2ULJG4NLJGDR251007,17,850
2ULJG4NLJGDR251028,24,1200
2ULJG4NLJGDR251104,25,1250
2ULJG4NLJGDR251118,23,1150
2ULJG4NLJGDR251125,23,1150
2ULJG4NLJGDR251202,22,1100
2ULJG4NLJGDR251209,23,1150
2ULJG4NLJGDR251216,14,700
2ULJG4NLJGDR251223,23,1150
2ULJG4NLJGDR251230,23,1150
2UNNG3NNNG9C251011,14,700
2UNNG3NNNG9C251012,20,1000
2UNNG3NNNG9C251018,20,1000
2UNNG3NNNG9C251105,19,950
2UNNG3NNNG9C251109,19,950
2UNNG3NNNG9C251111,21,1050
2UNNG3NNNG9C251112,19,950
2UNNG3NNNG9C251116,19,950
2UNNG3NNNG9C251117,23,1150
2UNNG3NNNG9C251130,19,950
2UNNG3NNNGGX251107,20,1000
2UNNG3NNNGGX251109,18,900
2UNNG3NNNGGX251121,19,950
2UNNG3NNNGGX251128,19,950
2UNNG3NNNGGX251205,19,950
2UNNG3NNNGGX251212,19,950
2UNNG3NNNGGX251219,24,1200
2UNNG3NNNGGX251221,18,900
2UNNG4NNNGGX251110,21,1050
2UNNG4NNNGGX251117,17,850
2UNNG4NNNGGX251119,19,950
2UNNG4NNNGGX251124,12,600
2UNNG4NNNGGX251201,11,550
2UNNG4NNNGGX251203,17,850
2UNNG4NNNGGX251210,14,700
2UNNG4NNNGGX251215,19,950
2UNNG4NNNGGX251217,19,950
2UNNG4NNNGGX251224,17,850
2UNNG4NNNGGX251228,20,1000
2UNNG4NNNGGX251229,19,950
2UNNG4NNNGGX251231,19,950
2UPKX3NPKXVZ250921,21,1050
2UTFU3NTFUFD250904,11,550
2UTFU3NTFUFD250905,19,950
2UTFU3NTFUFD250911,9,450
2UTFU3NTFUFD250912,19,950
2UTFU3NTFUFD250917,19,950
2UTFU3NTFUFD250918,19,950
2UTFU3NTFUFD250919,19,950
2UTFU3NTFUFD251031-2,15,750
2UTFU3NTFUFD251112,14,700
2UTFU3NTFUFD251114,14,700
2UTFU3NTFUFD251119,16,800
2UTFU3NTFUFD251121,13,650
2UTFU3NTFUFD251122,17,850
2UTFU3NTFUFD251126,18,900
2UTFU3NTFUFD251127,19,950
2UTFU3NTFUFD251128,19,950
2UTFU3NTFUFD251210,29,1450
2UTFU3NTFUFD251212,19,950
2UTFU3NTFUFD251217,14,700
2UTFU3NTFUFD251218,10,500
2UTFU3NTFUFD251219,19,950
2UTFU3NTFUFD251224,19,950
2UTFU3NTFUFD251227,19,950
2UTFU3NTFUFD251229,29,1450
2UTFU5NCKG3U251128,13,650
2UTFU5NCKG3U260101,16,800
BTCKG3U25062007,1,50
BTCKG3U25062707,1,50
BTCKG3U25122951,3,150
BTCNXKMGDR25021204,1,50
BTDLCQW25122213,1,50
BTDLCQW25122913,3,150
